Start,Value,End,Pollutant,Unit
2021-09-03 14:00:00,8.73,2021-09-03 15:00:00,6001,ug.m-3
2021-09-03 15:00:00,8.58,2021-09-03 16:00:00,6001,ug.m-3
2021-09-03 16:00:00,7.7,2021-09-03 17:00:00,6001,ug.m-3
2021-09-03 17:00:00,6.81,2021-09-03 18:00:00,6001,ug.m-3
2021-09-03 18:00:00,9.03,2021-09-03 19:00:00,6001,ug.m-3
2021-09-03 19:00:00,9.37,2021-09-03 20:00:00,6001,ug.m-3
2021-09-03 20:00:00,11.24,2021-09-03 21:00:00,6001,ug.m-3
2021-09-03 21:00:00,12.89,2021-09-03 22:00:00,6001,ug.m-3
2021-09-03 22:00:00,14.41,2021-09-03 23:00:00,6001,ug.m-3
2021-09-03 23:00:00,17.09,2021-09-04 00:00:00,6001,ug.m-3
2021-09-04 00:00:00,16.1,2021-09-04 01:00:00,6001,ug.m-3
2021-09-04 01:00:00,14.59,2021-09-04 02:00:00,6001,ug.m-3
2021-09-04 02:00:00,12.27,2021-09-04 03:00:00,6001,ug.m-3
2021-09-04 03:00:00,10.61,2021-09-04 04:00:00,6001,ug.m-3
2021-09-04 04:00:00,10.74,2021-09-04 05:00:00,6001,ug.m-3
2021-09-04 05:00:00,11.92,2021-09-04 06:00:00,6001,ug.m-3
2021-09-04 06:00:00,12.08,2021-09-04 07:00:00,6001,ug.m-3
2021-09-04 07:00:00,13.45,2021-09-04 08:00:00,6001,ug.m-3
2021-09-04 08:00:00,15.11,2021-09-04 09:00:00,6001,ug.m-3
2021-09-04 09:00:00,13.56,2021-09-04 10:00:00,6001,ug.m-3
2021-09-04 10:00:00,12.08,2021-09-04 11:00:00,6001,ug.m-3
2021-09-04 11:00:00,12.27,2021-09-04 12:00:00,6001,ug.m-3
2021-09-04 12:00:00,13.13,2021-09-04 13:00:00,6001,ug.m-3
2021-09-04 13:00:00,12.41,2021-09-04 14:00:00,6001,ug.m-3
2021-09-04 14:00:00,11.46,2021-09-04 15:00:00,6001,ug.m-3
2021-09-04 15:00:00,9.42,2021-09-04 16:00:00,6001,ug.m-3
2021-09-04 16:00:00,7.79,2021-09-04 17:00:00,6001,ug.m-3
2021-09-04 17:00:00,8.29,2021-09-04 18:00:00,6001,ug.m-3
2021-09-04 18:00:00,8.9,2021-09-04 19:00:00,6001,ug.m-3
2021-09-04 19:00:00,10.32,2021-09-04 20:00:00,6001,ug.m-3
2021-09-04 20:00:00,12.16,2021-09-04 21:00:00,6001,ug.m-3
2021-09-04 21:00:00,12.85,2021-09-04 22:00:00,6001,ug.m-3
2021-09-04 22:00:00,12.38,2021-09-04 23:00:00,6001,ug.m-3
2021-09-04 23:00:00,12.28,2021-09-05 00:00:00,6001,ug.m-3
2021-09-05 00:00:00,11.76,2021-09-05 01:00:00,6001,ug.m-3
