Ciudad,Fecha,NDBI
A Corua,2021-05-09,-0.183152151672739
A Corua,2021-05-17,-0.17680845692828284
A Corua,2021-05-25,-0.14050613844099183
A Corua,2021-06-02,-0.14461086891054337
A Corua,2021-06-10,-0.13740024310677512
A Corua,2021-06-18,-0.13605136340251955
A Corua,2021-06-26,-0.13549762825101555
A Corua,2021-07-04,-0.11120822644750179
A Corua,2021-07-12,-0.10746501490988898
A Corua,2021-07-20,-0.08553162272224517
A Corua,2021-07-28,-0.10139004201704555
A Corua,2021-08-05,-0.09066699800381027
A Corua,2021-08-13,-0.09268691051313138
A Corua,2021-08-21,-0.07816977371279564
A Corua,2021-08-29,-0.05534608782741593
A Corua,2021-09-06,-0.05325970390385445
A Corua,2021-09-14,-0.09028653314468711
A Corua,2021-09-22,-0.12043087578027734
A Corua,2021-09-30,-0.14288155005703862
A Corua,2021-10-08,-0.10981449787730764
A Corua,2021-10-16,-0.13912587518617112
A Corua,2021-10-24,-0.16845067470663708
A Corua,2021-11-01,-0.19453467540831712
A Corua,2021-11-09,-0.1827799783249985
A Corua,2021-11-17,-0.18383080328597012
A Corua,2021-11-25,-0.20222125000296765
A Corua,2021-12-03,-0.20193278015539462
A Corua,2021-12-11,-0.1853151063957631
A Corua,2021-12-19,-0.15151425785036168
A Corua,2021-12-27,-0.1531462212008841
A Corua,2022-01-01,-0.14374775010277163
A Corua,2022-01-09,-0.16913510694625647
A Corua,2022-01-17,-0.17122408047713802
A Corua,2022-01-25,-0.16075355957961238
A Corua,2022-02-02,-0.16738591623768748
A Corua,2022-02-10,-0.17804501920676785
A Corua,2022-02-18,-0.18443988239936934
A Corua,2022-02-26,-0.16596650374129948
A Corua,2022-03-06,-0.1216829435020461
A Corua,2022-03-14,-0.12488322760943871
A Corua,2022-03-22,-0.10428008205558838
A Corua,2022-03-30,-0.15521258155938922
A Corua,2022-04-07,-0.16751051229472155
A Corua,2022-04-15,-0.17815678016917647
A Corua,2022-04-23,-0.17572249796177297
A Corua,2022-05-01,-0.18671318570877937
A Corua,2022-05-09,-0.16525435665030727
A Corua,2022-05-17,-0.15107960151328656
A Corua,2022-05-25,-0.13568063858634385
A Corua,2022-06-02,-0.16539542798525858
A Corua,2022-06-10,-0.1528070030324515
A Corua,2022-06-18,-0.1122236625449139
A Corua,2022-06-26,-0.09984081228644896
A Corua,2022-07-04,-0.07155100831729429
A Corua,2022-07-12,-0.07062777891828005
A Corua,2022-07-20,-0.029068058809712322
A Corua,2022-07-28,-0.022415558062134244
A Corua,2022-08-05,-0.013963318201579466
A Corua,2022-08-13,-0.02576704161866666
A Corua,2022-08-21,-0.009231813031041421
A Corua,2022-08-29,0.0005246782905072175
A Corua,2022-09-06,0.009360204442669818
A Corua,2022-09-14,-0.036370221568153574
A Corua,2022-09-22,-0.05322670968274431
A Corua,2022-09-30,-0.06914923485738979
A Corua,2022-10-08,-0.06890697791681126
A Corua,2022-10-24,-0.10312957500129778
A Corua,2022-11-01,-0.15981903039717724
A Corua,2022-11-09,-0.18269715968577507
A Corua,2022-11-17,-0.21532370173926682
A Corua,2022-11-25,-0.23415203551102817
A Corua,2022-12-03,-0.20826267069058804
A Corua,2022-12-11,-0.2045850322610501
A Corua,2022-12-19,-0.2100710266804696
A Corua,2022-12-27,-0.27134839816443607
A Corua,2023-01-01,-0.25820766337421674
A Corua,2023-01-09,-0.21759621689320752
A Corua,2023-01-17,-0.20583951275730836
A Corua,2023-01-25,-0.2179933308619673
A Corua,2023-02-02,-0.2202798533578528
A Corua,2023-02-10,-0.17178352916133569
A Corua,2023-02-18,-0.14204452727115716
A Corua,2023-02-26,-0.15243004457167852
A Corua,2023-03-06,-0.1496682265589965
A Corua,2023-03-14,-0.1485879828655292
A Corua,2023-03-22,-0.13149287778139981
A Corua,2023-03-30,-0.1886935263673215
A Corua,2023-04-07,-0.21409635987700062
A Corua,2023-04-15,-0.21659816807703014
A Corua,2023-04-23,-0.20708443384385244
A Corua,2023-05-01,-0.19621911860889937
A Corua,2023-05-09,-0.21154439212367934
A Corua,2023-05-17,-0.16044326201240114
A Corua,2023-05-25,-0.14398154868529187
A Corua,2023-06-02,-0.09398830378007593
A Corua,2023-06-10,-0.08480049037845
A Corua,2023-06-18,-0.0616152696999512
A Corua,2023-06-26,-0.06636666806159101
A Corua,2023-07-04,-0.044911525273940676
A Corua,2023-07-12,-0.04655033449441511
A Corua,2023-07-20,-0.03757855596978499
A Corua,2023-07-28,-0.05903682547743291
A Corua,2023-08-05,-0.027159483314979915
A Corua,2023-08-13,-0.012941121487905946
A Corua,2023-08-21,0.009402951998354829
A Corua,2023-08-29,-0.06863651126563318
A Corua,2023-09-06,-0.08576976466863594
A Corua,2023-09-14,-0.09839438806867905
A Corua,2023-09-22,-0.06587815577782567
A Corua,2023-09-30,-0.08096472658848278
A Corua,2023-10-08,-0.196769845656297
A Corua,2023-10-16,-0.18463501495823542
A Corua,2023-10-24,-0.19461864749447697
A Corua,2023-11-01,-0.11668783019714381
A Corua,2023-11-09,-0.15641856025581455
A Corua,2023-11-17,-0.14761201738482194
A Corua,2023-11-25,-0.15257699537340425
A Corua,2023-12-03,-0.16458681667834094
A Corua,2023-12-11,-0.2114053852857274
A Corua,2023-12-19,-0.2145882575076424
A Corua,2023-12-27,-0.2093028596103952
A Corua,2024-01-01,-0.21550320543554505
A Corua,2024-01-09,-0.2088821678731839
A Corua,2024-01-17,-0.17731233427831292
A Corua,2024-01-25,-0.16194735531869422
A Corua,2024-02-02,-0.1495381788470178
A Corua,2024-02-10,-0.1232540347970069
A Corua,2024-02-18,-0.11958222006658899
A Corua,2024-02-26,-0.13815147176467502
A Corua,2024-03-05,-0.1870166200126707
A Corua,2024-03-13,-0.17585191735116723
A Corua,2024-03-21,-0.1748574409359056
A Corua,2024-03-29,-0.19286122817077733
A Corua,2024-04-06,-0.20624319390867896
A Corua,2024-04-14,-0.21908238338833627
A Corua,2024-04-22,-0.2046840077295586
A Corua,2024-04-30,-0.18312416677244592
A Corua,2024-05-08,-0.19906980361522128
A Corua,2024-05-16,-0.19996917324843597
A Corua,2024-05-24,-0.2367543056260495
A Corua,2024-06-01,-0.18201681877723555
A Corua,2024-06-09,-0.15098532264250678
A Corua,2024-06-17,-0.11803263201349735
A Corua,2024-06-25,-0.12308611261686013
A Corua,2024-07-03,-0.12823167417858733
A Corua,2024-07-11,-0.1266683920898356
A Corua,2024-07-19,-0.13221864921766233
A Corua,2024-07-27,-0.11252725271884051
A Corua,2024-08-04,-0.0879796835509168
A Corua,2024-08-12,-0.06608473934808294
A Corua,2024-08-20,-0.051218546345520144
A Corua,2024-08-28,-0.08525182131377573
A Corua,2024-09-05,-0.10315281851894702
A Corua,2024-09-13,-0.12095771671429413
A Corua,2024-09-21,-0.13257106374118222
A Corua,2024-09-29,-0.12980236852092833
A Corua,2024-10-07,-0.1850581363715269
A Corua,2024-10-15,-0.1920179924790697
A Corua,2024-10-23,-0.22147593114061195
A Corua,2024-10-31,-0.20487523594098986
A Corua,2024-11-08,-0.1882696035910827
