Ciudad,Fecha,NDVI
Albacete,2022-03-22,1.343e-05
Albacete,2022-04-07,1.233e-05
Albacete,2022-04-23,1.606e-05
Albacete,2022-05-09,1.692e-05
Albacete,2022-05-25,1.56e-05
Albacete,2022-06-10,1.3750000000000002e-05
Albacete,2022-06-26,1.314e-05
Albacete,2022-07-12,1.352e-05
Albacete,2022-07-28,1.56e-05
Albacete,2022-08-13,1.3680000000000001e-05
Albacete,2022-08-29,1.43e-05
Albacete,2022-09-14,1.301e-05
Albacete,2022-09-30,1.3350000000000001e-05
Albacete,2022-10-16,1.334e-05
Albacete,2022-11-01,1.042e-05
Albacete,2022-11-17,1.209e-05
Albacete,2022-12-03,1.2405e-05
Albacete,2022-12-19,1.2720000000000002e-05
Albacete,2023-01-01,1.2570000000000002e-05
Albacete,2023-01-17,1.2920000000000002e-05
Albacete,2023-02-02,1.2165e-05
Albacete,2023-02-18,1.141e-05
Albacete,2023-03-06,1.374e-05
Albacete,2023-03-22,1.214e-05
Albacete,2023-04-07,1.7199999999999998e-05
Albacete,2023-04-23,1.591e-05
Albacete,2023-05-09,1.598e-05
Albacete,2023-05-25,1.544e-05
Albacete,2023-06-10,1.643e-05
Albacete,2023-06-26,1.796e-05
Albacete,2023-07-12,1.497e-05
Albacete,2023-07-28,1.361e-05
Albacete,2023-08-13,1.569e-05
Albacete,2023-08-29,1.4060000000000001e-05
Albacete,2023-09-14,1.628e-05
Albacete,2023-09-30,1.343e-05
Albacete,2023-10-16,1.3035000000000001e-05
Albacete,2023-11-01,1.2640000000000003e-05
Albacete,2023-11-17,1.311e-05
Albacete,2023-12-03,1.164e-05
Albacete,2023-12-19,1.0520000000000001e-05
Albacete,2024-01-01,1.321e-05
Albacete,2024-01-17,1.106e-05
Albacete,2024-02-02,1.08e-05
Albacete,2024-02-18,1.1230000000000001e-05
Albacete,2024-03-05,1.4590000000000001e-05
Albacete,2024-03-21,1.7910000000000003e-05
Albacete,2024-04-06,1.508e-05
Albacete,2024-04-22,1.787e-05
Albacete,2024-05-08,1.694e-05
Albacete,2024-05-24,1.63e-05
Albacete,2024-06-09,1.4310000000000002e-05
Albacete,2024-06-25,1.529e-05
Albacete,2024-07-11,1.603e-05
Albacete,2024-07-27,1.553e-05
Albacete,2024-08-12,1.377e-05
Albacete,2024-08-28,1.502e-05
Albacete,2024-09-13,1.503e-05
Albacete,2024-09-29,1.553e-05
Albacete,2024-10-15,1.349e-05
Albacete,2024-10-31,1.684e-05
Albacete,2024-11-16,1.0970000000000002e-05
Albacete,2024-12-02,1.3420000000000002e-05
Albacete,2024-12-18,1.3280000000000002e-05
AlicanteAlacant,2012-12-18,1.236e-05
AlicanteAlacant,2013-01-01,1.338e-05
AlicanteAlacant,2013-01-17,1.44e-05
AlicanteAlacant,2013-02-02,1.25e-05
AlicanteAlacant,2013-02-18,1.4810000000000002e-05
AlicanteAlacant,2013-03-06,1.5110000000000001e-05
AlicanteAlacant,2013-03-22,1.541e-05
AlicanteAlacant,2013-04-07,1.215e-05
AlicanteAlacant,2013-04-23,1.3980000000000002e-05
AlicanteAlacant,2013-05-09,1.375e-05
AlicanteAlacant,2013-05-25,1.352e-05
AlicanteAlacant,2013-06-10,1.2800000000000001e-05
AlicanteAlacant,2013-06-26,1.469e-05
AlicanteAlacant,2013-07-12,1.658e-05
AlicanteAlacant,2013-07-28,1.5890000000000002e-05
AlicanteAlacant,2013-08-13,1.4590000000000001e-05
AlicanteAlacant,2013-08-29,1.644e-05
AlicanteAlacant,2013-09-14,1.1840000000000002e-05
AlicanteAlacant,2013-09-30,1.2365000000000001e-05
AlicanteAlacant,2013-10-16,1.2889999999999999e-05
AlicanteAlacant,2013-11-01,1.2273333333333333e-05
AlicanteAlacant,2013-11-17,1.1656666666666666e-05
AlicanteAlacant,2013-12-03,1.1040000000000001e-05
AlicanteAlacant,2013-12-19,1.8140000000000003e-05
AlicanteAlacant,2014-01-01,1.8140000000000003e-05
AlicanteAlacant,2014-01-17,1.0280000000000002e-05
